Container ID,Assignment Type,CV /OCD,Dwell,CV Import Date,Vessel Visit ID,CV Delivery Date
TRHU3835960,DLV2H,CV,16,24/09/2025,MDHA521X,10/10/2025
MRKU9085281,DLV2H,CV,16,24/09/2025,MDHA521X,10/10/2025
MNBU4639061,DLVGRD,CV,10,30/09/2025,MASA532C1,9/10/2025
MRSU4188145,OCD,OCD,27,12/9/2025,MNOR528S,9/10/2025
SEKU4722290,OCD,OCD,9,30/09/2025,MASA532C1,9/10/2025
HASU4312929,OCD,OCD,9,30/09/2025,MASA532C1,9/10/2025
TTNU1857505,DLVCRN,CV,35,4/9/2025,MAVL529C,9/10/2025
MRKU7419395,DLVCRN,CV,35,4/9/2025,MAVL529C,9/10/2025
HASU1424519,DLVCRN,CV,35,4/9/2025,MAVL529C,9/10/2025
GESU1241943,DLVCRN,CV,35,4/9/2025,MAVL529C,9/10/2025
HASU1344537,DLVCRN,CV,35,4/9/2025,MAVL529C,9/10/2025
HASU5187729,DLVCRN,CV,9,30/09/2025,MASA532C1,9/10/2025
GCXU5562493,DLV2H,CV,11,30/09/2025,MASA532C1,11/10/2025
MRSU4477364,DLVGRD,CV,17,23/09/2025,MDHA521X,9/10/2025
CAAU8298272,DLVGRD,CV,16,23/09/2025,MDHA521X,9/10/2025
MRKU6691520,APPDLV2H,CV,27,12/9/2025,MNOR528S,9/10/2025
PONU0527281,DLV2H,CV,15,24/09/2025,MDHA521X,9/10/2025
MRSU4702927,DLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
CAAU7167961,DLVGRD,CV,17,23/09/2025,MDHA521X,9/10/2025
MRSU4990572,DLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
UETU6953399,DLVGRD,CV,15,24/09/2025,MDHA521X,9/10/2025
MRKU2519895,APPDLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
TCLU2268670,DLVHS,CV,15,24/09/2025,MDHA521X,9/10/2025
MRKU2418293,DLVGRD,CV,17,23/09/2025,MDHA521X,9/10/2025
SUDU6718020,DLVGRD,CV,16,23/09/2025,MDHA521X,9/10/2025
FFAU7166784,OCD,OCD,9,30/09/2025,MASA532C1,8/10/2025
TLLU4674379,OCD,OCD,9,30/09/2025,MASA532C1,8/10/2025
SUDU8872077,APPDLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
MRKU2820492,DLVHS,CV,9,30/09/2025,MASA532C1,9/10/2025
HASU4390325,DLV2H,CV,16,23/09/2025,MDHA521X,9/10/2025
MSKU0254736,DLVHS,CV,9,30/09/2025,MASA532C1,9/10/2025
CAJU5103455,APPDLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
MRSU7053164,APPDLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
MIEU3019410,OCD,OCD,8,30/09/2025,MASA532C1,8/10/2025
MRSU4940566,DLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
MSKU9255939,DLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
MRKU8242072,OCD,OCD,8,30/09/2025,MASA532C1,8/10/2025
MRKU5334982,DLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
TRHU7600536,APPDLV2H,CV,9,30/09/2025,MASA532C1,9/10/2025
MNBU3034564,DLVGRD,CV,15,23/09/2025,MDHA521X,8/10/2025
MIEU3034409,DLV2H,CV,8,30/09/2025,MASA532C1,8/10/2025
TRHU3616128,DLV2H,CV,8,30/09/2025,MASA532C1,8/10/2025
MRKU6590211,DLV2H,CV,14,24/09/2025,MDHA521X,8/10/2025
MRKU7119931,DLV2H,CV,14,24/09/2025,MDHA521X,8/10/2025
MRSU6455195,DLV2H,CV,8,30/09/2025,MASA532C1,8/10/2025
MRSU3192388,DLV2H,CV,8,30/09/2025,MASA532C1,8/10/2025
MRKU2473500,DLV2H,CV,8,30/09/2025,MASA532C1,8/10/2025
SUDU8616455,DLV2H,CV,13,25/09/2025,MDHA521X,8/10/2025
MTSU9612223,DLVCRN,CV,15,23/09/2025,MDHA521X,8/10/2025
MRKU4603623,DLV2H,CV,25,13/09/2025,MNOR528S,8/10/2025
CAIU4907007,DLV2H,CV,8,30/09/2025,MASA532C1,8/10/2025
MSKU9411630,DLV2H,CV,14,24/09/2025,MDHA521X,8/10/2025
MRKU7088337,DLV2H,CV,14,24/09/2025,MDHA521X,8/10/2025
MRKU9632352,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
GLDU5534709,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
TEMU4087370,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
MSKU5472659,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
MSKU3340709,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
MSKU5745347,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
MRKU7145186,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
TGHU1852842,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
TCLU1446525,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
MSKU7379777,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
MSKU7637676,OCD,OCD,8,30/09/2025,MASA532C1,7/10/2025
MTSU9612244,DLVCRN,CV,8,30/09/2025,MASA532C1,8/10/2025
MSKU1378177,DLV2H,CV,14,24/09/2025,MDHA521X,8/10/2025
HASU4398753,DLVGRD,CV,8,30/09/2025,MASA532C1,8/10/2025
MRSU0410871,DLVHS,CV,8,30/09/2025,MASA532C1,8/10/2025
MRKU3817615,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
MRKU8168843,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
MRKU9694014,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
TEMU1427163,APPDLVGRD,CV,8,30/09/2025,MASA532C1,8/10/2025
MSKU7817549,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
MSKU7345057,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
MRKU9183924,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
GESU3914107,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
STJU2008930,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
MNBU3013643,DLV2H,CV,8,30/09/2025,MASA532C1,7/10/2025
MNBU0172317,DLVGRD,CV,15,23/09/2025,MDHA521X,7/10/2025
MSKU7602319,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
MRSU4526849,OCD,OCD,7,30/09/2025,MASA532C1,7/10/2025
MRSU0125513,DLV2H,CV,13,24/09/2025,MDHA521X,7/10/2025
SUDU7440130,DLVHS,CV,13,24/09/2025,MDHA521X,7/10/2025
HASU1357540,DLVGRD,CV,7,30/09/2025,MASA532C1,7/10/2025
TEMU1346354,DLVHS,CV,7,30/09/2025,MASA532C1,7/10/2025
MRSU0475569,DLVHS,CV,7,30/09/2025,MASA532C1,7/10/2025
HASU1373068,DLV2H,CV,7,30/09/2025,MASA532C1,7/10/2025
MRKU7759477,DLVGRD,CV,13,24/09/2025,MDHA521X,7/10/2025
MRSU7038513,DLV2H,CV,14,23/09/2025,MDHA521X,7/10/2025
CAIU4690903,DLV2H,CV,25,12/9/2025,MNOR528S,7/10/2025
MRKU9958098,APPDLV2H,CV,7,30/09/2025,MASA532C1,7/10/2025
MSKU7611389,DLV2H,CV,13,24/09/2025,MDHA521X,7/10/2025
FFAU5018290,DLVGRD,CV,7,30/09/2025,MASA532C1,7/10/2025
MRKU3468576,APPDLV2H,CV,7,30/09/2025,MASA532C1,7/10/2025
CAJU5076365,APPDLV2H,CV,7,30/09/2025,MASA532C1,7/10/2025
MRKU3648829,DLVCRN,CV,7,30/09/2025,MASA532C1,7/10/2025
GESU6380807,DLV2H,CV,48,20/08/2025,MCEB521C,7/10/2025
MSKU1693522,DLV2H,CV,47,21/08/2025,MCEB521C,7/10/2025
TCNU7765065,DLVGRD,CV,13,25/09/2025,MDHA521X,7/10/2025
CAJU5024398,DLV2H,CV,13,24/09/2025,MDHA521X,7/10/2025
MAEU9218813,DLVCRN,CV,7,30/09/2025,MASA532C1,7/10/2025
MRKU5137026,APPDLV2H,CV,7,30/09/2025,MASA532C1,7/10/2025
MRSU6515720,DLVCRN,CV,7,30/09/2025,MASA532C1,7/10/2025
CAAU6656464,APPDLV2H,CV,7,30/09/2025,MASA532C1,7/10/2025
MRKU5086607,DLV2H,CV,7,30/09/2025,MASA532C1,7/10/2025
CAAU2427412,OCD,OCD,11,25/09/2025,MDHA521X,6/10/2025
TEMU5228010,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
MSKU4316374,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
SWIU2267869,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
SWIU2268119,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
MRKU7894857,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
CAAU9049187,DLVGRD,CV,57,10/8/2025,MADV529W,6/10/2025
MRSU8815562,OCD,OCD,13,23/09/2025,MDHA521X,6/10/2025
MSKU9387956,OCD,OCD,13,23/09/2025,MDHA521X,6/10/2025
SELU4110389,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
CAAU8459084,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
MRSU6502316,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
TEMU1360373,OCD,OCD,6,30/09/2025,MASA532C1,6/10/2025
MRSU3279066,OCD,OCD,13,23/09/2025,MDHA521X,6/10/2025
MNBU0143094,DLVGRD,CV,13,23/09/2025,MDHA521X,6/10/2025
MNBU0149370,DLVGRD,CV,13,23/09/2025,MDHA521X,6/10/2025
CAAU4617577,DLV2H,CV,29,10/9/2025,MCCY518X,9/10/2025
MRKU8047369,DLVGRD,CV,6,30/09/2025,MASA532C1,6/10/2025
MSKU7503785,DLV2H,CV,6,30/09/2025,MASA532C1,6/10/2025
MSKU0446180,DLV2H,CV,12,24/09/2025,MDHA521X,6/10/2025
MRSU4513477,DLV2H,CV,25,12/9/2025,MNOR528S,6/10/2025
SUDU1881499,DLVGRD,CV,24,13/09/2025,MNOR528S,6/10/2025
PONU7841123,DLV2H,CV,13,24/09/2025,MDHA521X,6/10/2025
CAJU5102680,DLV2H,CV,6,30/09/2025,MASA532C1,6/10/2025
SUDU7575768,DLV2H,CV,12,24/09/2025,MDHA521X,6/10/2025
MRKU3524432,APPDLV2H,CV,7,30/09/2025,MASA532C1,6/10/2025
TCLU4957880,DLVCRN,CV,24,12/9/2025,MNOR528S,6/10/2025
MSKU5692139,DLV2H,CV,12,24/09/2025,MDHA521X,6/10/2025
SEKU4464889,DLV2H,CV,14,23/09/2025,MDHA521X,6/10/2025
SEKU6722771,DLVCRN,CV,6,30/09/2025,MASA532C1,6/10/2025
SUDU7378265,DLVGRD,CV,11,25/09/2025,MDHA521X,6/10/2025
TEMU4374133,DLVGRD,CV,23,13/09/2025,MNOR528S,6/10/2025
MRKU3870266,DLVCRN,CV,6,30/09/2025,MASA532C1,6/10/2025
HASU5058526,APPDLV2H,CV,7,30/09/2025,MASA532C1,6/10/2025
MSKU9611120,DLV2H,CV,7,30/09/2025,MASA532C1,6/10/2025
TCNU8499695,APPDLV2H,CV,7,30/09/2025,MASA532C1,6/10/2025
MRSU5502991,DLVCRN,CV,6,30/09/2025,MASA532C1,6/10/2025
TCLU2419885,OCD,OCD,6,30/09/2025,MASA532C1,5/10/2025
TCKU3598324,OCD,OCD,6,30/09/2025,MASA532C1,5/10/2025
MSKU3027593,APPOCD,CV,6,30/09/2025,MASA532C1,5/10/2025
MRSU3847145,DLV2H,CV,6,30/09/2025,MASA532C1,6/10/2025
CAIU7661597,OCD,OCD,6,30/09/2025,MASA532C1,5/10/2025
MRKU8846494,OCD,OCD,10,25/09/2025,MDHA521X,5/10/2025
TEMU1321720,DLVGRD,CV,6,30/09/2025,MASA532C1,6/10/2025
TTNU1084853,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
MRKU9526788,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
TCLU2175048,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
CAAU2509486,DLVGRD,CV,7,30/09/2025,MASA532C1,6/10/2025
HASU1185559,DLV2H,CV,6,30/09/2025,MASA532C1,6/10/2025
MSKU4188205,DLVHS,CV,6,30/09/2025,MASA532C1,6/10/2025
MRKU7105856,DLVGRD,CV,7,30/09/2025,MASA532C1,6/10/2025
TEMU3722527,DLVGRD,CV,7,30/09/2025,MASA532C1,6/10/2025
MRKU9567745,DLVGRD,CV,7,30/09/2025,MASA532C1,6/10/2025
MRKU8652689,DLVGRD,CV,7,30/09/2025,MASA532C1,6/10/2025
MRKU8001692,DLVGRD,CV,7,30/09/2025,MASA532C1,6/10/2025
SWIU2267679,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
MRKU9685326,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
TCKU1061090,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
SUDU7875976,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
MSKU5647269,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
HASU1538764,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
CAAU9361343,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
MRKU9305046,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
TCNU6578840,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
MRSU3929876,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
TCNU4031089,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
MSKU9258861,OCD,OCD,5,30/09/2025,MASA532C1,5/10/2025
TEMU7168579,APPDLV2H,CV,6,30/09/2025,MASA532C1,5/10/2025
MRKU2590569,APPDLV2H,CV,5,30/09/2025,MASA532C1,5/10/2025
MRSU0172752,DLV2H,CV,12,24/09/2025,MDHA521X,5/10/2025
MSKU4074100,APPDLV2H,CV,5,30/09/2025,MASA532C1,5/10/2025
MIEU0055516,DLV2H,CV,5,30/09/2025,MASA532C1,5/10/2025
BSIU9852108,OCD,OCD,4,30/09/2025,MASA532C1,4/10/2025
SUDU8217809,DLVGRD,CV,11,23/09/2025,MDHA521X,4/10/2025
UETU8461572,OCD,OCD,11,23/09/2025,MDHA521X,4/10/2025
GCXU6202362,OCD,OCD,10,24/09/2025,MDHA521X,4/10/2025
CAAU9348043,APPDLV2H,CV,4,30/09/2025,MASA532C1,4/10/2025
MRSU6929313,APPDLV2H,CV,4,30/09/2025,MASA532C1,4/10/2025
TCNU2443981,DLV2H,CV,4,30/09/2025,MASA532C1,4/10/2025
SUDU7917599,APPDLV2H,CV,10,24/09/2025,MDHA521X,4/10/2025
TLLU5870843,APPDLV2H,CV,4,30/09/2025,MASA532C1,4/10/2025
MRKU3120831,DLV2H,CV,4,30/09/2025,MASA532C1,4/10/2025
MTSU9606956,APPDLV2H,CV,4,30/09/2025,MASA532C1,4/10/2025
MRKU2055069,APPDLV2H,CV,4,30/09/2025,MASA532C1,4/10/2025
MRSU7231055,APPDLV2H,CV,4,30/09/2025,MASA532C1,4/10/2025
MSKU1216216,OCD,OCD,10,23/09/2025,MDHA521X,3/10/2025
CAAU9030284,OCD,OCD,10,23/09/2025,MDHA521X,3/10/2025
MSKU3017785,OCD,OCD,9,24/09/2025,MDHA521X,3/10/2025
MNBU3360410,DLVGRD,CV,9,23/09/2025,MDHA521X,2/10/2025
MNBU4202894,DLVGRD,CV,9,23/09/2025,MDHA521X,2/10/2025
MRKU3468473,OCD,OCD,8,24/09/2025,MDHA521X,1/10/2025
MRKU3147642,OCD,OCD,7,25/09/2025,MDHA521X,1/10/2025
MRKU5884490,OCD,OCD,7,25/09/2025,MDHA521X,1/10/2025
MRKU6154970,OCD,OCD,9,23/09/2025,MDHA521X,1/10/2025
MRKU3386164,OCD,OCD,8,24/09/2025,MDHA521X,1/10/2025
TCKU6583122,OCD,OCD,7,25/09/2025,MDHA521X,1/10/2025
CAJU5034143,DLVCRN,CV,9,23/09/2025,MDHA521X,2/10/2025
CAIU8417646,OCD,OCD,1,30/09/2025,MASA532C1,1/10/2025
MSKU1730061,OCD,OCD,1,30/09/2025,MASA532C1,1/10/2025
MRSU3408230,OCD,OCD,1,30/09/2025,MASA532C1,1/10/2025
